time;P5mM.1;P5mM.2;P5mM.3;P10mM.1;P10mM.2;P10mM.3;P20mM.1;P20mM.2;P20mM.3;P40mM.1;P450uM.1;P40mM.2;P60mM.1;P60mM.2;P60mM.3;P100mM.1;P100mM.2;P100mM.3;C5mM.1;C10mM.1;C10mM.2;C20mM.1;C40mM.1;C40mM.2;C60mM.1;C600uM.1;C100mM.1;C100mM.2;P900uM.1;P900uM.2;P900uM.3;P900uM.4;P900uM.5;P750uM.1;P750uM.2;P750uM.3;P750uM.4;P750uM.5;P600uM.1;P600uM.2;P600uM.3;P600uM.4;P600uM.5;P600uM.6;P600uM.7;P450uM.1;P450uM.2;P450uM.3;P300uM.1;P300uM.2;P300uM.3;P300uM.4;P300uM.5;P300uM.6;P150uM.1;P150uM.2;P150uM.3;P150uM.4;P75uM.1;C5mM.2;C5mM.3;C10mM.1;C20mM.1;C20mM.3;C20mM.4;C20mM.5;C20mM.6;C20mM.7;C20mM.8;C40mM.1;C40mM.2;C40mM.3;C40mM.4;C40mM.5;C40mM.6;C40mM.7;C40mM.8;C40mM.9;C40mM.10;C40mM.11;C40mM.12;C60mM.1;C60mM.2;C60mM.3;C60mM.4;C60mM.5;C60mM.6;C100mM.1;C100mM.2;C100mM.3;C100mM.4;C100mM.5;P5mM.2;P10mM.1;P10mM.2;P10mM.3;P20mM.1;P20mM.2;P20mM.3
1;95.34683;94.327;94.56628;96.25066;94.24599;96.47013;101.6593;98.1616;97.46483;99.74525;97.23141;88.7872;90.7924;95.04308;95.32388;95.8268;89.3518;94.0183;92.8141;90.389;96.97336;90.3284;92.1235;89.3767;89.0229;92.3568;91.1032;91.9119;92.2861;94.7983;95.6448;91.9958;92.6523;96.6336;91.757;93.8408;104.12;96.7915;97.012;92.4177;95.1727;94.9347;98.1168;96.1195;98.8788;92.6381;104.9471;96.083;96.56595;96.38;96.38;102.00662;101.3225;101.3225;101.3225;93.76646;94.5632;95.1647;98.692;82.3811;82.7086;86.0476;85.8935;86.33887;92.2553;83.63055;85.6298;86.6116;87.9649;83.1411;80.6114;92.4637;87.9006;88.007;88.7482;81.1443;85.7732;93.184;94.2314;91.6851;94.6794;86.413;86.3627;91.7131;92.6587;94.8752;96.1523;96.7748;95.4517;96.80402;98.05929;96.82571;82.50484;86.49973;85.02267;86.05981;85.3213;89.8618;87.98667
2;93.08756;92.12515;90.99205;93.55977;92.31759;94.45303;98.8588;96.63544;95.12647;97.0802;95.12099;87.4379;89.462;92.89553;93.50181;93.4412;87.1162;91.9975;90.445;89.0718;94.26605;88.6983;90.4334;88.0141;87.6887;90.1449;88.4827;88.8616;92.2861;94.7983;95.6448;91.9958;92.6523;96.6336;91.757;93.8408;104.12;96.7915;97.012;92.4177;95.1727;94.9347;98.1168;96.1195;98.8788;92.6381;104.9471;96.083;96.56595;96.38;96.38;102.00662;101.3225;101.3225;101.3225;93.76646;94.5632;95.1647;98.692;82.3811;82.7086;86.0476;85.8935;86.33887;92.2553;83.63055;85.6298;86.6116;87.9649;83.1411;80.6114;92.4637;87.9006;88.007;88.7482;81.1443;85.7732;93.184;94.2314;91.6851;94.6794;86.413;86.3627;91.7131;92.6587;94.8752;96.1523;96.7748;95.4517;96.80402;98.05929;96.82571;82.50484;86.49973;85.02267;86.05981;85.3213;89.8618;87.98667
3;92.12557;91.80773;91.84615;93.29749;92.04886;94.31425;98.0366;95.89825;95.42249;97.05117;94.10352;87.6559;89.508;93.52209;93.56714;93.3296;88.5052;91.6847;90.2358;88.9445;93.42627;88.6083;90.6495;87.5814;87.7633;89.9353;88.8298;89.1364;92.5739;95.0103;95.1115;92.1535;92.406;97.7028;91.2217;94.4477;101.625;96.7461;96.757;92.5618;96.4827;94.948;98.3756;96.1821;99.0698;92.4871;104.3014;96.325;96.74609;96.93;96.93;102.28048;101.54985;101.54985;101.54985;93.57997;96.2975;95.0722;98.68;82.299;82.77314;85.2562;85.0569;86.02795;92.077;82.64425;84.5612;86.2426;88.732;84.2975;85.1931;92.2934;86.983;86.0165;87.5822;80.5922;84.9444;93.0527;93.7366;99.1112;96.218;84.5049;90.8232;91.5484;93.5556;95.5595;96.0521;97.0046;93.7927;98.15005;99.83624;96.65234;81.13676;86.56725;85.51656;86.07825;85.3571;90.1938;88.03069
4;92.77144;91.62457;91.91078;93.13483;91.3922;95.96597;97.0565;96.12347;94.80019;95.73436;94.88734;87.5269;88.2847;93.36828;93.59866;93.0579;87.3847;91.7796;90.1152;88.9967;94.72333;88.6065;90.2696;87.7852;88.0382;90.1796;88.4127;89.2926;92.4284;94.3576;94.5861;90.4593;91.9847;98.1223;91.2911;94.3925;102.507;96.4865;97.405;92.4576;94.6293;94.2625;98.2796;95.8472;98.0553;92.4186;104.9135;96.043;96.66595;96.874;96.874;102.24078;101.42795;101.42795;101.42795;93.28146;95.11;94.2335;98.353;80.762;82.79726;85.1425;85.5409;84.75528;92.4589;82.5965;86.701;87.0585;88.4643;83.5819;85.2551;92.1097;86.5454;87.7352;88.6754;81.1052;82.957;93.7907;93.6506;93.1385;95.2708;85.3311;88.0586;91.4559;92.7401;95.8755;95.7618;97.5189;91.7494;97.35264;98.47411;97.12888;82.11151;88.98977;85.85063;87.66631;87.9438;88.5695;89.11675
5;93.13615;91.11881;91.71861;93.08579;91.35622;95.76787;96.2526;95.72338;95.28065;96.09497;93.93585;87.2535;89.2513;92.73993;93.23522;93.1937;87.6129;91.8992;90.7946;89.1444;93.6088;88.436;90.3978;87.5641;87.7885;90.2929;88.7867;89.5881;92.4205;95.0261;95.4497;91.6381;91.8293;97.7805;91.4376;94.1387;102.419;96.8955;96.088;92.482;97.3193;95.2973;98.4627;95.9714;98.6694;91.9883;104.9607;95.686;96.78019;96.761;96.761;102.01912;102.04462;102.04462;102.04462;93.15408;95.2239;94.3713;98.624;83.0818;84.30399;83.8042;85.4883;86.78692;93.5255;84.4493;86.6753;88.4556;89.9338;83.8909;85.336;89.0328;78.6648;87.9537;89.047;81.3322;84.2349;92.0393;93.6159;94.2959;94.9912;85.4352;86.8312;91.2332;91.9325;93.8033;95.2715;97.1967;93.4028;96.93727;98.9273;96.23895;82.78931;89.00163;85.46348;87.86697;93.8202;93.8851;87.60862
6;92.95582;91.59323;91.49504;92.59438;91.29797;95.79262;96.01;96.16364;95.07037;96.08759;94.34793;87.7201;89.6467;93.0966;93.21194;93.12;87.5947;91.8142;90.6765;89.0163;93.33882;89.3892;90.6319;87.94;87.8435;90.2685;89.0321;89.2899;92.2723;93.8603;95.0971;91.6252;92.6742;97.7623;91.2886;94.1105;102.7;96.7253;96.017;92.4595;95.1536;94.0987;98.2302;95.0859;96.9036;92.1498;105.0663;96.095;96.58065;96.997;96.997;101.66811;101.59544;101.59544;101.59544;92.86549;97.3054;97.2599;98.589;85.2242;83.82719;85.3487;86.3213;86.53296;95.4822;84.07559;85.0295;88.9428;90.0518;83.1212;84.5928;90.4444;84.7087;87.5414;88.9104;81.9738;86.4694;94.3325;93.3402;96.2242;94.4861;85.4046;86.2112;90.1913;91.2524;95.513;95.3104;97.597;92.7546;96.99683;98.65781;96.392;82.86515;88.81978;86.40351;86.65417;88.7339;92.4773;90.25579
7;98.97381;95.94611;93.23097;97.96333;93.67951;97.38928;106.2879;101.61796;100.33604;102.5462;95.01653;94.0367;96.9971;98.74253;97.71755;101.7005;103.9495;100.79;92.4282;88.6555;92.99167;91.1922;93.6004;88.6388;87.6;90.1393;89.9674;92.7736;92.9537;96.2005;96.0979;90.6635;93.9598;97.5032;91.652;94.5036;103.471;96.6048;96.259;92.385;95.0098;94.5127;98.3965;96.3924;98.6666;93.3212;103.912;96.619;96.70095;96.49;96.49;101.51948;101.87483;101.87483;101.87483;93.39295;105.6445;109.0255;98.255;88.416;81.88569;88.624;94.0742;87.12584;100.303;84.8315;85.0842;93.6701;106.5111;100.8488;102.5378;103.2688;100.8656;107.0453;104.3512;102.2775;108.6826;103.1256;107.2953;105.1015;104.2939;105.7615;106.5616;105.1847;101.2714;107.3494;95.5883;106.8874;104.153;101.42828;102.95763;99.4572;87.6894;92.01236;89.61527;87.72768;98.562;100.538;92.30429
8;98.59389;96.5554;96.12082;99.9154;94.89793;99.44748;106.3212;102.11538;100.18362;102.4964;96.75738;99.1662;99.616;100.52401;99.16707;103.8531;110.2884;104.0662;104.6861;102.4302;96.86707;98.596;108.2472;98.6614;97.6642;97.9643;96.8926;102.2849;97.1375;107.6304;101.2528;95.3705;107.0736;98.9915;94.1887;96.5426;108.375;100.2446;96.912;93.9404;98.7629;100.2207;100.4389;106.9902;104.9309;96.0238;108.5896;97.473;97.811;97.102;97.102;103.33739;102.08815;102.08815;102.08815;94.12844;108.781;113.9848;98.701;88.8485;83.48199;88.0221;95.7951;86.69811;103.4493;85.89915;89.9417;98.3648;107.4518;106.1545;109.7417;114.0435;114.3826;110.4965;110.6119;108.3356;111.7647;109.8384;108.9082;107.95;108.0603;106.4864;108.7248;108.2095;101.1435;108.3315;94.9199;106.8577;105.7785;102.10197;103.74544;101.76816;86.0492;93.05337;89.2447;87.64315;100.9188;103.902;95.02242
9;98.38704;95.76022;95.90279;98.24745;95.0429;99.45522;103.629;101.80464;99.12164;99.72359;96.05151;97.8906;98.6026;100.20926;98.41998;102.774;107.0653;103.449;104.3398;105.844;97.04552;103.6689;108.125;98.6992;100.052;102.8342;98.1834;103.2187;108.7503;115.9132;106.1369;105.1707;110.7275;100.9884;98.1878;109.0889;109.821;107.9353;99.403;95.9588;102.1535;105.6735;108.1295;124.5225;116.1275;97.9009;112.8279;100.838;99.54885;97.586;97.586;105.17426;104.32462;104.32462;104.32462;93.01977;108.775;113.7728;98.813;91.5056;82.5481;87.0341;101.5712;88.28428;104.1098;86.02447;92.1425;101.8358;113.644;108.0091;109.1513;115.0598;114.2067;109.6363;109.8036;108.368;116.6534;110.0775;108.0614;107.447;108.318;102.2628;104.1284;104.9902;98.1006;106.1368;96.4594;104.6198;102.4868;101.42516;103.77891;99.87575;85.22908;93.66505;87.03819;87.2488;101.0306;104.2134;95.65913
10;96.25327;95.25523;94.53977;95.94728;94.06023;98.80305;100.6145;101.03961;97.70592;98.52415;96.04907;96.222;97.1651;99.69564;96.92974;100.508;103.9594;102.6503;103.9695;106.2056;96.41777;102.2782;106.8017;98.4066;99.34;103.7855;97.599;103.3119;120.4506;117.4783;108.6596;115.7588;110.7654;105.1655;102.9458;123.8975;110.674;111.5912;103.667;99.3306;111.5911;115.1377;119.769;130.2058;121.2437;102.7544;117.1103;108.24;101.97282;98.205;98.205;106.86263;105.91476;105.91476;105.91476;94.58472;109.1381;112.8464;99.326;91.9898;84.45808;85.8789;101.4651;89.16325;104.1962;84.4362;93.7369;102.8116;112.1019;104.3223;104.0456;111.8993;111.3482;104.7403;106.6358;107.2757;115.5616;108.2449;106.3069;103.2296;105.4532;97.8624;100.6021;101.3904;95.0073;102.921;105.4344;102.314;96.3948;100.36105;102.91552;98.50963;82.71861;91.90322;87.64369;87.34992;100.55;103.7932;95.66223
11;95.63367;94.40916;93.87851;95.89001;93.01511;98.67955;98.967;99.69883;96.79295;96.96832;95.78052;94.3177;97.021;98.4325;95.37844;99.3301;100.9426;101.133;103.5102;106.1885;95.97882;100.1847;104.0647;97.5755;98.0222;103.4409;96.4789;102.9332;123.1356;119.066;111.2739;119.2427;110.8959;110.6631;107.8539;124.6238;111.529;112.5524;108.673;104.3988;114.4639;118.4162;126.019;131.0773;122.3896;103.4965;119.8928;112.562;103.77583;98.543;98.543;107.10069;107.42268;107.42268;107.42268;94.7664;108.5376;110.69;99.657;91.5586;87.32334;84.4989;101.8718;89.30762;103.1677;84.71193;94.2385;102.2982;108.9001;99.2485;102.9845;108.9155;107.8471;104.7986;105.6758;105.0105;114.0935;107.4005;104.8795;103.2903;105.4779;93.7333;97.3908;97.5839;93.6304;101.9602;105.3816;100.7304;95.5995;98.88634;102.11297;97.24444;83.75804;92.99522;87.95776;87.79122;98.7751;102.5811;96.06779
12;94.56581;93.45293;93.92522;95.23042;92.93913;97.8284;97.906;99.40458;95.59414;97.22198;95.4509;92.7754;94.5756;97.95491;94.74581;97.9741;97.9823;100.1871;100.7719;104.4822;95.65005;98.7685;101.8779;96.2726;96.2702;102.3085;95.7096;102.2935;125.9714;119.5145;111.5905;119.7535;110.15;112.1292;111.8559;125.4894;111.538;112.3593;113.91;109.5181;117.0323;121.2672;126.1996;132.4492;124.3614;106.3867;121.4624;114.789;104.41823;100.502;100.502;106.73557;107.88297;107.88297;107.88297;95.37949;108.523;108.8229;99.734;91.4642;85.91191;85.8494;100.4414;89.38398;101.9445;87.03696;93.6643;100.7764;106.4545;96.0707;99.4068;104.2599;102.01;101.0846;102.415;102.8585;112.4779;104.4706;102.3814;100.8635;103.6836;91.3579;94.533;95.7266;92.41;98.4964;102.7861;99.5551;92.93;98.22252;101.61162;96.97704;83.99714;93.74494;88.12037;88.19064;96.194;100.817;95.91246
13;94.21878;92.62151;93.48207;94.54388;92.34107;97.08302;96.374;98.08401;95.6086;97.59042;95.10159;91.8839;94.7316;96.99577;93.92819;96.9989;95.6108;100.1143;99.3478;103.0401;95.30556;96.87;99.5335;95.1616;95.0105;101.3579;95.1178;101.0613;125.9746;118.7558;111.631;119.3094;108.7403;111.6594;114.3368;125.5062;111.093;112.0273;116.402;112.6291;117.272;119.4895;126.0906;130.1549;120.9285;107.0004;121.7126;113.437;104.26791;100.689;100.689;106.25816;108.32652;108.32652;108.32652;95.72112;108.6413;107.6245;100.169;91.7574;84.12493;85.7427;100.3273;89.56635;101.0261;86.57945;93.7693;100.398;102.8959;92.6664;97.7592;101.792;100.1915;96.2537;98.7198;100.7172;108.8314;102.1673;100.462;99.6296;102.7875;88.7304;92.7805;94.8012;92.5139;98.8127;100.5936;98.7621;94.2957;97.25263;100.87621;96.50868;81.33681;91.11971;87.8325;87.85417;97.7242;101.3347;95.28648
14;93.501;92.35995;92.57484;93.99886;92.00589;97.51208;96.1331;97.45983;95.00901;97.08868;94.5794;91.2078;94.5867;96.88705;93.64907;96.7218;93.5104;96.6995;97.3821;100.9493;94.49529;95.0746;96.9219;94.2935;93.8541;100.1784;93.3917;99.8139;124.716;118.4076;112.8823;118.8524;107.5616;111.4028;115.7357;125.2827;111.393;111.4338;115.499;115.4934;117.7683;121.0116;125.6358;131.7879;122.3462;106.9704;120.1319;111.77;103.72844;102.498;102.498;106.10815;108.52197;108.52197;108.52197;96.66179;108.3728;105.9508;99.844;90.9117;83.38797;85.9273;99.2004;89.14938;100.1635;83.86187;92.934;100.2101;100.8673;90.6884;94.8606;96.7442;93.1101;97.1384;98.262;97.8929;104.709;101.238;99.7824;98.429;101.2498;87.835;88.576;93.6008;92.7465;97.915;99.2774;98.532;92.0438;96.96593;100.75172;96.91216;83.89471;93.74297;85.69291;88.3712;97.1647;101.0799;94.91036
15;93.30131;91.96562;92.45994;93.44972;91.44247;96.85841;95.896;96.92312;95.23298;97.7047;95.07525;90.3724;93.5681;96.26442;93.82553;95.6426;92.6627;96.2316;96.3587;99.2547;94.118;93.3631;96.6443;93.2573;92.2105;99.8154;92.8924;99.2308;124.8702;117.6459;111.121;118.5327;107.1526;111.2169;117.0296;124.5012;110.438;110.9847;114.843;117.6134;117.5005;120.003;123.6296;129.0131;120.3875;106.914;119.1232;110.871;103.31596;102.907;102.907;104.72112;109.23196;109.23196;109.23196;96.57842;107.9704;104.7163;100.276;89.288;82.85702;85.6702;95.1206;87.8652;99.687;85.6468;91.7264;99.4154;97.5636;88.1064;93.9142;96.5707;95.0766;93.2867;95.6228;96.3918;106.415;97.5093;98.0636;94.3897;98.881;87.4495;88.9348;89.4677;91.4163;97.504;99.0342;98.4559;91.7269;97.03322;99.61365;96.40778;80.8823;90.77749;86.47803;88.17538;93.699;98.8597;93.24406
16;93.14099;91.86412;92.63355;93.38809;91.78988;96.90154;95.3406;96.71524;94.95993;96.98412;94.80371;89.7224;93.079;95.59879;92.96838;94.8705;92.1697;96.8722;95.7824;97.3539;93.03815;92.8038;95.3097;92.1372;91.8614;98.1394;92.6322;97.1653;124.1217;116.7575;110.8116;115.4851;105.393;110.4092;117.1033;124.0107;109.7;110.2753;112.624;117.6134;117.7049;119.5906;123.1401;130.3868;121.0844;105.3567;117.4999;109.296;103.45059;104.437;104.437;104.87349;107.35529;107.35529;107.35529;98.11063;107.6581;104.0805;105.165;90.5996;82.5526;85.3508;96.2718;89.27499;98.75;85.74089;91.05;98.5612;96.9113;87.2437;92.1466;95.0995;93.5222;91.9539;94.347;94.7991;104.3913;99.6025;97.201;95.2435;98.6868;85.7992;88.8195;92.483;90.8328;96.761;98.7689;98.4395;92.8917;96.40447;99.17897;96.66969;83.35115;92.96478;88.61591;88.41554;95.5854;99.739;94.20323
17;93.43919;91.45908;91.55084;93.45928;91.54188;95.87108;94.9374;96.41651;94.91433;97.02946;94.92086;88.8513;92.8892;95.40087;92.47901;94.9608;90.4525;96.1433;94.2286;96.0282;92.67453;91.8966;94.5343;91.4632;91.3195;97.1086;92.5056;97.3518;119.6357;114.4096;110.1367;116.3709;105.4667;109.7462;116.9417;122.8751;109.663;109.5949;110.076;117.666;116.7826;118.3606;122.0316;130.3493;121.1781;105.0843;115.6573;108.512;102.69971;105.121;105.121;104.34619;108.49019;108.49019;108.49019;97.83047;106.2026;103.4382;106.459;88.8382;81.98372;84.9427;96.3111;89.09279;96.7548;85.42233;91.5449;98.1173;96.4439;87.1999;91.0949;92.661;90.7435;92.9099;94.3916;93.5995;101.9883;98.2283;96.2214;97.4853;101.1579;85.4148;88.1684;92.2457;91.9584;96.548;97.7107;97.6178;91.2934;95.85843;99.01822;95.97636;83.25227;92.50263;86.58539;88.17237;94.7878;98.6649;93.55642
18;93.41538;91.44759;91.45544;93.44525;90.50773;95.63704;94.937;95.99548;95.0889;97.02815;94.05118;88.4279;92.4901;94.99501;92.93251;94.2048;89.7035;94.3469;93.4989;95.4317;92.12186;91.1085;93.7247;91.0456;90.0876;95.8779;91.7677;95.8894;120.6575;114.1658;109.6231;115.1532;104.4308;108.6694;116.2589;120.916;108.219;108.8204;110.273;117.2575;115.1179;116.9523;121.103;128.2638;118.6833;104.2385;114.1478;106.401;102.89834;105.759;105.759;104.63892;107.97015;107.97015;107.97015;97.74078;106.4749;102.7529;105.882;88.4672;82.53101;85.6135;94.9187;88.95505;95.6194;85.46537;88.9586;97.1778;95.8734;87.0277;85.7206;91.934;90.3972;92.7534;94.2474;92.3629;99.7038;98.0794;95.831;95.1138;97.3423;85.2732;86.8185;91.3309;91.078;94.2152;97.6365;97.837;93.1056;96.48602;98.61164;95.92526;81.08789;90.22071;87.67723;88.87406;95.1155;99.0914;92.28149
19;92.02316;91.43062;91.08466;92.84132;91.44511;95.03045;94.4381;95.88354;95.29836;96.78048;94.30911;86.7414;91.8795;94.61414;91.83018;94.3283;90.268;94.8553;92.5747;94.6895;91.96439;90.7059;92.9594;90.2812;89.8612;95.26;90.5694;95.2787;120.2672;113.3984;108.9348;113.8833;103.4765;107.5928;115.7542;118.8657;108.183;108.1578;109.497;117.0539;114.1957;116.7819;118.7749;127.3605;118.1392;103.9409;113.1693;107.081;103.09939;106.64;106.64;104.73378;108.83757;108.83757;108.83757;98.5092;106.2306;102.0886;104.362;88.4657;82.10866;85.4003;93.7819;87.01122;97.0272;84.97905;90.289;96.7048;95.2311;86.2226;89.7717;89.5799;86.0993;92.1367;93.3966;90.3107;99.0266;97.91;95.4364;95.0973;97.6106;83.9248;87.0604;89.3492;91.4642;96.0419;97.0146;97.6986;92.745;96.49377;98.57064;96.43233;83.14111;92.17104;87.2774;91.83667;94.3674;98.1663;92.91492
